"percentage_of_sales","sale_price","cost_price","product_quantity"
"0",42.99,26.304749208751986,"3"
"0",12.99,7.672220446328534,"3"
"0",18,9.319705476516887,"3"
"0",22,13.376214330434756,"3"
"0",24.99,14.99396233412083,"3"
"0",12.99,7.6972012327626,"3"
"0",7.99,3.600020637159497,"3"
"0",30.99,18.216741163899115,"3"
"0",1,0.5602533140859068,"3"
"0",1,0.5004862211029891,"3"
"0",2,0.8427333329685183,"3"
"0",1.25,0.4839913735742831,"3"
"0",6,2.844051445855293,"3"
"0",8,3.802772293162091,"3"
"0",20,7.701393002538382,"3"
"0",1,0.447101086457238,"3"
"0",21.99,13.078433636903377,"3"
"0",2.5,1.616842776697874,"3"
"0",20,9.25834491531736,"3"
"0",25,15.036561948806275,"3"
"0",30,17.39092404946517,"3"
"0",2.5,0.800371860749492,"3"
"0",3.99,2.3288610857922767,"3"
"0",50,23.515702381023637,"3"
"0",2.69,1.2968022019079677,"3"
"0",25,16.00208739709855,"3"
"0",19.99,12.21421328464054,"3"
"0",25,11.3769209269751,"3"
"0",45,26.214477942661222,"3"
"0",8,3.617644701420836,"3"
"0",22,13.142684218462916,"3"
"0",19.99,11.45541470036036,"3"
"0",18,8.25774552578017,"3"
"0",2.99,1.4642237160792453,"3"
"0",4.49,1.7150104319562816,"3"
"0",4.49,1.862104541106284,"3"
"0",70,41.62106472541996,"3"
"0",12,6.95763617811022,"3"
"0",22,12.496534483621392,"3"
"0",1,0.422533702941546,"3"
"0",22,13.376214330434756,"3"
"0",8,3.0221968706837856,"3"
"0",15,9.134181446057944,"3"
"0",8,4.887051539237564,"3"
"0",1,0.5047797905755371,"3"
"0",4,2.075331142016557,"3"
"0",3.99,1.584622200931556,"3"
"0",10.99,5.164931336028458,"3"
"0",0.69,0.3318863903000733,"3"
"0",12.99,7.902362315948595,"3"
